id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,ingresos_totales_USD_cat,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público
3040,1,2,7,0,48,0,5,No corresponde,No corresponde,2,4,2,22000,1,0,2,22000,1,103000,25750,1,1,1,0,10,0,4,0,347.27703235990526,0.0,347.27703235990526,1625.8879242304656,406.4719810576164,1,0,1,1,0,0,1
3040,1,3,7,0,29,1,4,No corresponde,No corresponde,0,1,1,0,1,0,1,0,1,103000,25750,1,1,1,0,10,0,4,0,0.0,0.0,0.0,1625.8879242304656,406.4719810576164,4,0,1,1,0,0,1
3040,1,4,7,0,85,4,3,No corresponde,No corresponde,2,0,2,19000,3,12000,2,31000,1,103000,25750,1,1,1,0,10,0,1,0,299.92107340173635,189.42383583267562,489.344909234412,1625.8879242304656,406.4719810576164,2,0,1,1,0,1,0
3041,1,1,6,0,53,2,0,No corresponde,No corresponde,2,2,3,20000,3,7500,3,27500,2,62500,31250,1,1,1,3,12,0,1,0,315.70639305445934,118.38989739542225,434.0962904498816,986.5824782951854,493.2912391475927,2,0,1,1,0,1,0
3041,1,2,6,0,50,0,0,No corresponde,No corresponde,2,0,3,35000,1,0,3,35000,2,62500,31250,1,1,1,5,15,0,1,0,552.4861878453039,0.0,552.4861878453039,986.5824782951854,493.2912391475927,2,1,0,1,0,1,0
3042,1,1,9,1,53,2,0,No corresponde,No corresponde,2,4,2,18000,1,0,2,18000,1,27000,6750,1,1,1,3,12,4,4,0,284.1357537490134,0.0,284.1357537490134,426.2036306235201,106.55090765588002,1,0,1,1,0,0,1
3042,1,2,9,1,56,0,0,No corresponde,No corresponde,2,0,3,4000,1,0,3,4000,1,27000,6750,1,1,1,3,12,4,4,3,63.14127861089187,0.0,63.14127861089187,426.2036306235201,106.55090765588002,3,1,0,0,1,0,1
3042,1,3,9,1,25,1,4,No corresponde,No corresponde,2,4,3,5000,1,0,3,5000,1,27000,6750,0,2,13,1,13,0,1,0,78.92659826361484,0.0,78.92659826361484,426.2036306235201,106.55090765588002,3,0,1,1,0,1,0
3042,1,4,9,1,13,1,2,1,2,1,1,1,0,1,0,1,0,1,27000,6750,0,3,11,0,7,0,4,0,0.0,0.0,0.0,426.2036306235201,106.55090765588002,4,1,0,1,0,0,1
3043,1,1,4,0,53,2,4,No corresponde,No corresponde,2,4,3,20000,1,0,3,20000,2,32000,16000,1,1,1,0,9,1,4,0,315.70639305445934,0.0,315.70639305445934,505.13022888713493,252.56511444356747,1,0,1,1,0,0,1
